Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,VALUBusy,VALUUtilization,SQ_WAVES,LDSBankConflict,MemUnitStalled,SQ_WAIT_INST_LDS,SQ_INSTS_VMEM_RD,SQ_INSTS_VALU,SQ_INSTS_LDS,DispatchNs,BeginNs,EndNs,CompleteNs
101122,"void miso::kernels::moe_gate_up_kernel<256>(miso::kernels::MoeGateUpParams) [clone .kd]",1,1,101424,1553930,1553930,30720,256,512,0,64,0,48,64,0x0,0x73c6a4de35c0,29.3224864918,83.4010735640,480,0.0000000000,1.2679773802,987,23712,1256456,10593,48298395390030,48298395411526,48298395626405,48298400767322
101123,"void miso::kernels::moe_down_kernel<(miso::kernels::QType)1, 256>(miso::kernels::MoeDownParams) [clone .kd]",1,1,101425,1553930,1553930,30720,256,9728,0,108,0,32,64,0x0,0x73c6a4de3640,28.6543689429,98.3622685412,480,1.2914291480,0.6359869103,2268,26976,1014536,9600,48298395565453,48298395626405,48298395765605,48298416284256
101124,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101426,1553930,1553930,512,512,512,0,28,0,32,64,0x0,0x73c6a508d680,0.0435925729,98.7695312500,8,0.0000000000,1.0478269498,17,96,616,24,48298395720657,48298395765605,48298395871365,48298416171438
101125,"void miso::kernels::q6k_gemv_kernel<2048u, 256, 2>(miso::kernels::Q6kGemvParams) [clone .kd]",1,1,101427,1553930,1553930,122880,256,0,0,60,0,32,64,0x0,0x73c6a5073000,37.3174647494,97.7393697171,1920,0.0000000000,11.5089981490,0,48128,1430784,0,48298395845772,48298395871365,48298396027045,48298416051314
101126,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 2048u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101428,1553930,1553930,61440,256,0,0,72,0,48,64,0x0,0x73c6a5072f40,15.9808609390,96.7234893064,960,0.0000000000,4.5730863409,0,16000,496080,0,48298395978069,48298396027045,48298396169764,48298415942032
101127,"void miso::kernels::deltanet_step_kernel<256>(miso::kernels::DeltaNetStepParams) [clone .kd]",1,1,101429,1553930,1553930,8192,256,3072,0,184,0,64,64,0x0,0x73c6a5051400,3.3633524639,99.7167266187,128,0.0000000000,1.7741492551,1555,9536,84096,7616,48298396124887,48298396169764,48298396304644,48298415660611
101128,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 4096u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101430,1553930,1553930,61440,256,0,0,112,0,48,64,0x0,0x73c6a5072fc0,13.4475608167,97.3213026928,960,0.0000000000,1.5142150803,0,16384,451392,0,48298396270458,48298396304644,48298396460004,48298415407779
101129,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101431,1553930,1553930,512,512,512,0,28,0,32,64,0x0,0x73c6a508d680,0.0432689707,98.7695312500,8,0.0000000000,0.4306010929,20,96,616,24,48298396417169,48298396460004,48298396665924,48298415289494
101130,"void miso::kernels::moe_router_kernel<256>(miso::kernels::MoeRouterParams) [clone .kd]",1,1,101432,1553930,1553930,16640,256,0,0,36,0,32,64,0x0,0x73c6a4de3580,1.6155921928,94.2115461618,260,0.0000000000,0.4573110113,0,3084,25709,0,48298396638097,48298396665924,48298396840803,48298415160650
101131,"void miso::kernels::moe_gate_up_kernel<256>(miso::kernels::MoeGateUpParams) [clone .kd]",1,1,101433,1553930,1553930,30720,256,512,0,64,0,48,64,0x0,0x73c6a4de35c0,27.0784291839,83.4016484171,480,0.0000000000,1.6009990634,746,23712,1256456,10593,48298396811439,48298396840803,48298397061763,48298415027953
