ts,edge_c,junction_c,mem_c,sclk,mclk,power_w
1790423094,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423095,34.0,34.0,40.0,930Mhz,350Mhz,16.0
1790423096,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423098,34.0,34.0,40.0,930Mhz,350Mhz,16.0
1790423099,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423101,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423102,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423104,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423105,34.0,34.0,40.0,930Mhz,350Mhz,16.0
1790423107,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423108,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423110,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423111,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423112,34.0,34.0,40.0,930Mhz,350Mhz,16.0
1790423114,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423115,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423117,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423118,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423120,34.0,34.0,40.0,930Mhz,350Mhz,16.0
1790423121,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423123,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423124,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423125,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423127,33.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423128,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423130,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423131,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423133,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423134,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423136,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423137,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423139,34.0,34.0,40.0,930Mhz,350Mhz,16.0
1790423140,34.0,34.0,40.0,930Mhz,350Mhz,16.0
1790423141,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423143,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423144,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423146,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423147,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423149,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423150,33.0,34.0,40.0,930Mhz,350Mhz,16.0
1790423152,34.0,34.0,40.0,930Mhz,350Mhz,16.0
1790423153,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423155,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423156,34.0,34.0,40.0,930Mhz,350Mhz,16.0
1790423157,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423159,34.0,35.0,38.0,930Mhz,350Mhz,16.0
1790423160,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423162,33.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423163,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423165,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423166,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423168,34.0,35.0,38.0,930Mhz,350Mhz,16.0
1790423169,34.0,34.0,40.0,930Mhz,350Mhz,16.0
1790423171,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423172,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423173,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423175,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423176,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423178,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423179,33.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423181,33.0,34.0,40.0,930Mhz,350Mhz,16.0
1790423182,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423184,34.0,35.0,38.0,930Mhz,350Mhz,16.0
1790423185,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423186,35.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423188,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423189,34.0,34.0,40.0,930Mhz,350Mhz,16.0
1790423191,34.0,35.0,38.0,930Mhz,350Mhz,16.0
1790423192,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423194,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423195,34.0,35.0,38.0,930Mhz,350Mhz,16.0
1790423197,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423198,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423200,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423201,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423202,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423204,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423205,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423207,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423208,34.0,35.0,38.0,930Mhz,350Mhz,16.0
1790423210,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423211,34.0,35.0,38.0,930Mhz,350Mhz,16.0
1790423213,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790423214,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423215,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423217,34.0,34.0,40.0,930Mhz,350Mhz,16.0
1790423218,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423220,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423221,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423223,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423224,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423226,34.0,35.0,38.0,930Mhz,350Mhz,16.0
1790423227,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423229,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423230,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423231,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423233,34.0,34.0,40.0,930Mhz,350Mhz,16.0
1790423234,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423236,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423237,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423239,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423240,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423242,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423243,34.0,34.0,40.0,930Mhz,350Mhz,16.0
1790423244,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423246,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423247,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423249,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423250,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423252,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423253,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423255,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423256,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423258,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423259,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423260,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423262,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423263,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423265,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423266,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423268,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423269,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423271,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423272,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423274,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423275,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423276,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423278,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423279,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423281,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423282,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423284,34.0,34.0,39.0,930Mhz,350Mhz,16.0
1790423285,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423287,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423288,33.0,35.0,38.0,930Mhz,350Mhz,16.0
1790423289,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423291,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423292,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423294,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423295,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423297,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423298,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423300,34.0,35.0,38.0,930Mhz,350Mhz,16.0
1790423301,34.0,35.0,40.0,930Mhz,350Mhz,16.0
1790423303,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423304,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423305,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423307,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423308,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423310,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423311,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423313,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423314,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423316,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423317,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423318,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423320,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423321,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423323,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423324,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423326,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423327,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423329,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423330,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423332,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423333,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423334,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423336,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423337,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423339,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423340,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423342,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423343,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423345,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423346,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423347,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423349,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423350,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423352,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423353,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423355,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423356,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423358,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423359,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423361,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423362,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423363,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423365,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423366,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423368,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423369,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423371,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423372,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423374,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423375,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423376,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423378,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423379,34.0,35.0,38.0,930Mhz,350Mhz,16.0
1790423381,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423382,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423384,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423385,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423387,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423388,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423390,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423391,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423392,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423394,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423395,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423397,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423398,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423400,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423401,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423403,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423404,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423405,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423407,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423408,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423410,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423411,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423413,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423414,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423416,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423417,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423419,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423420,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423421,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423423,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423424,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423426,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423427,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423429,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423430,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423432,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423433,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423434,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423436,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423437,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423439,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423440,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423442,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423443,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423445,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423446,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423448,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423449,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423450,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423452,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423453,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423455,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423456,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423458,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423459,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423461,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423462,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423463,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423465,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423466,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423468,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423469,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423471,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423472,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423474,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423475,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423477,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423478,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423479,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423481,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423482,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423484,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423485,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423487,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423488,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423490,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423491,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423492,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423494,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423495,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423497,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423498,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423500,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423501,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423503,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423504,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423506,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423507,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423508,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423510,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423511,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423513,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423514,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423516,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423517,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423519,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423520,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423522,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423523,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423524,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423526,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423527,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423529,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423530,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423532,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423533,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423535,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423536,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423537,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423539,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423540,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423542,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423543,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423545,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423546,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423548,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423549,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423551,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423552,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423553,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423555,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423556,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423558,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423559,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423561,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423562,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423564,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423565,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423566,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423568,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423569,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423571,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423572,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423574,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423575,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423577,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423578,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423580,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423581,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423582,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423584,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423585,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423587,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423588,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423590,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423591,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423593,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423594,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423595,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423597,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423598,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423600,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423601,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423603,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423604,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423606,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423607,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423609,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423610,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423611,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423613,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423614,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423616,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423617,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423619,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423620,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423622,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423623,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423625,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423626,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423627,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423629,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423630,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423632,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423633,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423635,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423636,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423638,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423639,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423640,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423642,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423643,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423645,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423646,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423648,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423649,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423651,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423652,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423653,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423655,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423656,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423658,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423659,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423661,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423662,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423664,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423665,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423667,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423668,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423669,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423671,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423672,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423674,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423675,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423677,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423678,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423680,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423681,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423683,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423684,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423685,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423687,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423688,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423690,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423691,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423693,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423694,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423696,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423697,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423698,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423700,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423701,33.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423703,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423704,34.0,34.0,38.0,930Mhz,350Mhz,16.0
1790423706,33.0,34.0,38.0,930Mhz,350Mhz,16.0
