ts,edge_c,junction_c,mem_c,sclk,mclk,power_w
1790422631,37.0,38.0,42.0,930Mhz,350Mhz,16.0
1790422633,37.0,37.0,41.0,930Mhz,350Mhz,16.0
1790422634,37.0,37.0,41.0,930Mhz,350Mhz,16.0
1790422636,37.0,37.0,41.0,930Mhz,350Mhz,16.0
1790422638,36.0,36.0,40.0,930Mhz,350Mhz,16.0
1790422639,35.0,36.0,40.0,930Mhz,350Mhz,16.0
1790422641,35.0,36.0,40.0,930Mhz,350Mhz,16.0
1790422643,35.0,36.0,40.0,930Mhz,350Mhz,16.0
1790422644,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422646,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422647,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422649,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422651,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422652,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422654,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422656,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422657,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422659,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422661,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422662,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422664,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422666,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422667,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422669,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422670,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422672,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422674,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422675,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422677,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422678,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422680,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422682,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422683,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422685,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422687,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422688,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422690,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422692,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422693,34.0,35.0,39.0,925Mhz,350Mhz,16.0
1790422695,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422697,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422698,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422700,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422701,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422703,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422705,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422706,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422708,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422710,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422711,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422713,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422715,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422716,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422718,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422720,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422721,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422723,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422725,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422726,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422728,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422729,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422731,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422733,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422734,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422736,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422738,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422739,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422741,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422743,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422744,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422746,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422748,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422749,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422751,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422752,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422754,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422756,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422757,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422759,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422761,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422762,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422764,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422766,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422767,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422769,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422771,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422772,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422774,34.0,35.0,39.0,930Mhz,350Mhz,16.0
.0
1790422751,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422752,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422754,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422755,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422757,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422758,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422759,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422761,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422762,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422764,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422765,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422767,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422768,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422770,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422771,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422773,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422774,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422776,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422777,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422779,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422780,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422782,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422783,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422785,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422786,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422788,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422789,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422790,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422792,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422793,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422795,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422796,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422798,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422799,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422801,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422802,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422804,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422805,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422806,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422808,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422809,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422811,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422812,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422814,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422815,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422817,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422818,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422819,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422821,34.0,35.0,39.0,930Mhz,350Mhz,16.0
